_H:	$Name	%Input[2:0,0]<2:25,1>	%Input[2:1,0]	%Input[2:2,0]	%Input[2:3,0]	%Input[2:4,0]	%Input[2:5,0]	%Input[2:6,0]	%Input[2:7,0]	%Input[2:8,0]	%Input[2:9,0]	%Input[2:10,0]	%Input[2:11,0]	%Input[2:12,0]	%Input[2:13,0]	%Input[2:14,0]	%Input[2:15,0]	%Input[2:16,0]	%Input[2:17,0]	%Input[2:18,0]	%Input[2:19,0]	%Input[2:20,0]	%Input[2:21,0]	%Input[2:22,0]	%Input[2:23,0]	%Input[2:24,0]	%Output[2:0,0]<2:1,1>
_D:	"N120_20141013_233000_20141013_235000"	0.979167	0.780822	1	0	0	0	0	0	0	0	0	0.533333	1	0	0	0	0	0	0	0	1	0	0	0	0	0
_D:	"N120_20141013_223000_20141013_225000"	0.9375	0.780822	1	0	0	0	0	0	0	0	0	0.533333	1	0	0	0	0	0	0	0	1	0	0	0	0	0
_D:	"N120_20141013_220000_20141013_222000"	0.916667	0.780822	1	0	0	0	0	0	0	0	0	0.533333	1	0	0	0	0	0	0	0	1	0	0	0	0	0.0109821
_D:	"N120_20141013_213000_20141013_215000"	0.895833	0.780822	1	0	0	0	0	0	0	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00873438
_D:	"N120_20141013_210000_20141013_212000"	0.875	0.780822	1	0	0	0	0	0	0	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0917105
_D:	"N120_20141013_203000_20141013_205000"	0.854167	0.780822	1	0	0	0	0	0	0	0	0	0.472727	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_200000_20141013_202000"	0.833333	0.780822	1	0	0	0	0	0	0	0	0	0.472727	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_193000_20141013_195000"	0.8125	0.780822	1	0	0	0	0	0	0	0	0	0.412121	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_190000_20141013_192000"	0.791667	0.780822	1	0	0	0	0	0	0	0	0	0.412121	0	0	1	0	0	0	0	0	0	0	0	0	0	0.197437
_D:	"N120_20141013_183000_20141013_185000"	0.770833	0.780822	1	0	0	0	0	0	0	0	0	0.351515	0	0	1	0	0	0	0	0	0	0	0	0	0	0.234297
_D:	"N120_20141013_180000_20141013_182000"	0.75	0.780822	1	0	0	0	0	0	0	0	0	0.351515	0	0	1	0	0	0	0	0	0	0	0	0	0	0.299963
_D:	"N120_20141013_173000_20141013_175000"	0.729167	0.780822	1	0	0	0	0	0	0	0	0	0.351515	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_170000_20141013_172000"	0.708333	0.780822	1	0	0	0	0	0	0	0	0	0.351515	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_163000_20141013_165000"	0.6875	0.780822	1	0	0	0	0	0	0	0	0	0.351515	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_160000_20141013_162000"	0.666667	0.780822	1	0	0	0	0	0	0	0	0	0.381818	0	0	1	0	0	0	0	0	0	0	0	0	0	0.005
_D:	"N120_20141013_153000_20141013_155000"	0.645833	0.780822	1	0	0	0	0	0	0	0	0	0.381818	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0155625
_D:	"N120_20141013_150000_20141013_152000"	0.625	0.780822	1	0	0	0	0	0	0	0	0	0.381818	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0145938
_D:	"N120_20141013_143000_20141013_145000"	0.604167	0.780822	1	0	0	0	0	0	0	0	0	0.381818	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_140000_20141013_142000"	0.583333	0.780822	1	0	0	0	0	0	0	0	0	0.351515	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_133000_20141013_135000"	0.5625	0.780822	1	0	0	0	0	0	0	0	0	0.351515	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_130000_20141013_132000"	0.541667	0.780822	1	0	0	0	0	0	0	0	0	0.381818	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00515625
_D:	"N120_20141013_123000_20141013_125000"	0.520833	0.780822	1	0	0	0	0	0	0	0	0	0.381818	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0904911
_D:	"N120_20141013_120000_20141013_122000"	0.5	0.780822	1	0	0	0	0	0	0	0	0	0.381818	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00996875
_D:	"N120_20141013_113000_20141013_115000"	0.479167	0.780822	1	0	0	0	0	0	0	0	0	0.381818	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_103000_20141013_105000"	0.4375	0.780822	1	0	0	0	0	0	0	0	0	0.381818	0	0	0	0	0	1	0	0	0	0	0	0	0	0
_D:	"N120_20141013_100000_20141013_102000"	0.416667	0.780822	1	0	0	0	0	0	0	0	0	0.412121	0	0	0	0	0	1	0	0	0	0	0	0	0	0.03125
_D:	"N120_20141013_093000_20141013_095000"	0.395833	0.780822	1	0	0	0	0	0	0	0	0	0.412121	0	0	0	0	0	1	0	0	0	0	0	0	0	0.038125
_D:	"N120_20141013_090000_20141013_092000"	0.375	0.780822	1	0	0	0	0	0	0	0	0	0.412121	0	0	0	0	0	1	0	0	0	0	0	0	0	0.255179
_D:	"N120_20141013_083000_20141013_085000"	0.354167	0.780822	1	0	0	0	0	0	0	0	0	0.412121	0	0	0	0	0	1	0	0	0	0	0	0	0	0
_D:	"N120_20141013_080000_20141013_082000"	0.333333	0.780822	1	0	0	0	0	0	0	0	0	0.412121	0	0	0	0	0	1	0	0	0	0	0	0	0	0
